Nombre Roca,Composición,Cuarzo,Muscovita,Feldespato,Biotita,Anfibol,Piroxeno,Olivino,Plg Na,Plg Int,Plg Ca,Tamaño de grano,Textura mixta de grano,Origen,Color,Tipo de magma,Velocidad de enfriamiento,Sulfuros u oxidos,Etapa del magma,Cristalinidad,Homogeneidad,Minerales esenciales,Minerales accesorios,Textura
Granito,Mineral,1,1,1,1,1,0,0,1,0,0,Fanerítica,,Plutónico,Leucocrático,Ácido,Lenta,No,Pegmagmática,Holocristalina,,,,
Granito,Mineral,1,1,1,1,1,0,0,1,0,0,Fanerítica,,Plutónico,Leucocrático,Ácido,Lenta,Si,Hidrotermal,Holocristalina,,,,
Riolita,Mineral,1,1,1,1,1,0,0,1,0,0,Afanítica,,Volcánico,Leucocrático,Ácido,Rápida,No,Pegmagmática,Criptocristalina,,,,
Riolita,Mineral,1,1,1,1,1,0,0,1,0,0,Afanítica,,Volcánico,Leucocrático,Ácido,Rápida,Si,Hidrotermal,Criptocristalina,,,,
Andesita,Mineral,0,0,0,1,1,1,0,0,1,0,Afanítica,,Volcánico,Mesocrático,Intermedio,Rápida,No,Intermedia,Criptocristalina,,,,
Andesita,Mineral,0,0,0,1,1,1,0,0,1,0,Afanítica,,Volcánico,Mesocrático,Intermedio,Rápida,Si,Hidrotermal,Criptocristalina,,,,
Diorita,Mineral,0,0,0,1,1,1,0,0,1,0,Fanerítica,,Plutónico,Mesocrático,Intermedio,Lenta,No,Intermedia,Holocristalina,,,,
Diorita,Mineral,0,0,0,1,1,1,0,0,1,0,Fanerítica,,Plutónico,Mesocrático,Intermedio,Lenta,Si,Hidrotermal,Holocristalina,,,,
Basalto,Mineral,0,0,0,0,1,1,1,0,0,1,Afanítica,,Volcánico,Melanocrático,Básico,Rápida,No,Ortomagmática,Criptocristalina,,,,
Basalto,Mineral,0,0,0,0,1,1,1,0,0,1,Afanítica,,Volcánico,Melanocrático,Básico,Rápida,Si,Hidrotermal,Criptocristalina,,,,
Gabro,Mineral,0,0,0,0,1,1,1,0,0,1,Fanerítica,,Plutónico,Melanocrático,Básico,Lenta,No,Ortomagmática,Holocristalina,,,,
Gabro,Mineral,0,0,0,0,1,1,1,0,0,1,Fanerítica,,Plutónico,Melanocrático,Básico,Lenta,Si,Hidrotermal,Holocristalina,,,,
Komatita,Mineral,0,0,0,0,0,1,1,0,0,0,Afanítica,,Volcánico,Holomelanocrático,Básico,Rápida,No,Ortomagmática,Criptocristalina,,,,
Komatita,Mineral,0,0,0,0,0,1,1,0,0,0,Afanítica,,Volcánico,Holomelanocrático,Básico,Rápida,Si,Hidrotermal,Criptocristalina,,,,
Peridotita,Mineral,0,0,0,0,0,0,1,0,0,0,Fanerítica,,Plutónico,Holomelanocrático,Básico,Lenta,No,Ortomagmática,Holocristalina,,,,
Peridotita,Mineral,0,0,0,0,0,0,1,0,0,0,Fanerítica,,Plutónico,Holomelanocrático,Básico,Lenta,Si,Hidrotermal,Holocristalina,,,,
Pumita,Vidrio,0,0,0,0,0,0,0,0,0,0,,,Volcánico,Leucocrático,,Instantánea ,0,,Holohialina,,,,Vesicular
Obsidiana,Vidrio,0,0,0,0,0,0,0,0,0,0,,,Volcánico,Holomelanocrático,,Instantánea ,0,,Holohialina,,,,Vitrea
Riolita porfirítica,Mineral,1,1,1,1,1,0,0,1,0,0,Mixto,Porfirítica,Intermedio,Leucocrático,Ácido,Mixta,No,Pegmagmática,Hipocristalina,,,,
Riolita porfirítica,Mineral,1,1,1,1,1,0,0,1,0,0,Mixto,Porfirítica,Intermedio,Leucocrático,Ácido,Mixta,Si,Hidrotermal,Hipocristalina,,,,
Andesita porfirítica,Mineral,0,0,0,1,1,1,0,0,1,0,Mixto,Porfirítica,Intermedio,Mesocrático,Intermedio,Mixta,No,Intermedia,Hipocristalina,,,,
Andesita porfirítica,Mineral,0,0,0,1,1,1,0,0,1,0,Mixto,Porfirítica,Intermedio,Mesocrático,Intermedio,Mixta,Si,Hidrotermal,Hipocristalina,,,,
Basalto porfirítico,Mineral,0,0,0,0,1,1,1,0,0,1,Mixto,Porfirítica,Intermedio,Melanocrático,Básico,Mixta,No,Ortomagmática,Hipocristalina,,,,
Basalto porfirítico,Mineral,0,0,0,0,1,1,1,0,0,1,Mixto,Porfirítica,Intermedio,Melanocrático,Básico,Mixta,Si,Hidrotermal,Hipocristalina,,,,
Riolita pegmatítica,Mineral,1,1,1,1,1,0,0,1,0,0,Mixto,Pegmatítica,Intermedio,Leucocrático,Ácido,Mixta,No,Pegmagmática,Hipocristalina,,,,
Riolita pegmatítica,Mineral,1,1,1,1,1,0,0,1,0,0,Mixto,Pegmatítica,Intermedio,Leucocrático,Ácido,Mixta,Si,Hidrotermal,Hipocristalina,,,,
Andesita pegmatítica,Mineral,1,1,1,1,1,0,0,1,0,0,Mixto,Pegmatítica,Intermedio,Mesocrático,Intermedio,Mixta,No,Intermedia,Hipocristalina,,,,
Andesita pegmatítica,Mineral,1,1,1,1,1,0,0,1,0,0,Mixto,Pegmatítica,Intermedio,Mesocrático,Intermedio,Mixta,Si,Hidrotermal,Hipocristalina,,,,
Basalto pegmatítico,Mineral,0,0,0,0,1,1,1,0,0,1,Mixto,Pegmatítica,Intermedio,Melanocrático,Básico,Mixta,No,Ortomagmática,Hipocristalina,,,,
Basalto pegmatítico,Mineral,0,0,0,0,1,1,1,0,0,1,Mixto,Pegmatítica,Intermedio,Melanocrático,Básico,Mixta,Si,Hidrotermal,Hipocristalina,,,,
